ID стартапа,Стадия,Индустрия,Выручка,Необходимое финансирование,Локация,Опыт работы,Размер команды,Инновационный фокус
S-72,Идея,Медицина,3540415,287501,США,2,62,Устойчивое развитие
S-73,Идея,Медицина,44891,438361,Африка,9,121,На блокчейне
S-74,Идея,Медицина,4833597,751296,Азия,7,19,Устойчивое развитие
S-75,Рост,Возобновляемая энергия,3318855,455790,США,8,58,Устойчивое развитие
S-76,Рост,Медицина,1198058,72535,Европа,4,153,На блокчейне
S-77,Масштабирование,Искусственный интеллект,7863447,732131,Азия,6,70,С IoT
S-78,Масштабирование,Искусственный интеллект,668752,942627,Африка,5,155,На блокчейне
S-79,Идея,Искусственный интеллект,3840714,717053,Южная Америка,9,6,На блокчейне
S-80,Идея,Медицина,7893693,554173,Африка,4,47,С IoT
S-81,Масштабирование,Искусственный интеллект,7885465,374863,Африка,5,83,На базе ИИ
S-82,Сид,Сельское хозяйство,6906258,737369,Африка,4,170,С IoT
S-83,Идея,Финтех,1477398,339795,Азия,5,30,С IoT
S-84,Идея,Возобновляемая энергия,7750676,443321,США,3,133,На блокчейне
S-85,Масштабирование,Финтех,865901,223446,Азия,8,34,На блокчейне
S-86,Масштабирование,Финтех,2037191,40271,Южная Америка,3,182,Устойчивое развитие
S-87,Рост,Возобновляемая энергия,229419,589077,Африка,1,58,На базе ИИ
S-88,Масштабирование,Искусственный интеллект,2583206,532584,Азия,8,181,На блокчейне
S-89,Масштабирование,Финтех,7922533,265570,Африка,8,38,С IoT
S-90,Сид,Возобновляемая энергия,8526867,792544,Европа,1,71,С IoT
S-91,Рост,Возобновляемая энергия,4482413,870408,США,4,186,На блокчейне
S-92,Масштабирование,Медицина,7491822,574742,Африка,5,86,С IoT
S-93,Масштабирование,Сельское хозяйство,3165061,741380,Европа,9,99,Устойчивое развитие
S-94,Масштабирование,Искусственный интеллект,5338112,790879,Африка,6,99,Устойчивое развитие
S-95,Масштабирование,Искусственный интеллект,2118060,536690,Южная Америка,5,26,С IoT
S-96,Идея,Возобновляемая энергия,7665981,26093,Европа,6,168,Устойчивое развитие
S-97,Идея,Финтех,4446344,365007,Южная Америка,6,167,На базе ИИ
S-98,Рост,Возобновляемая энергия,6375499,342043,Африка,8,10,На базе ИИ
S-99,Сид,Сельское хозяйство,3816586,793041,США,6,26,На базе ИИ
S-100,Масштабирование,Медицина,5024207,957308,США,0,84,На базе ИИ
